Employer Name,Review Link,Job Title,Review Date,Review City Name,Review State Name,Current Job,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4584707.htm, ,7/15/2014,New York,New York State,No,3,2,2,3,4,3,Staying the Same,Yes,No Opinion,Work-life balance is decent.  Growing so likely some opportunity in niches if you can find it.,"Still trying to figure out direction, which leads to some discontinuity.  
Trying to change culture there as many of the employees are lifers that are stuck doing business a certain way as opposed to determining best course for future of company.","Allow employees to take some risks to grow the company.  Otherwise, it guarantees mediocrity and inhibits growth.","Evolving business model, solid foundation"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4552798.htm, ,7/10/2014, , ,Yes,5,0,0,0,0,0, , ,No Rating,"eveything good work more have fun the place is beautiful..the good environment  Do keep in mind that the company reviews on all these sites are posted by individuals, including possibly disgruntled employees. So, use them as a tool to help gather more information about a company, but don't count on them as 100% accurate, because every employee's experience is different.","Do keep in mind that the company reviews on all these sites are posted by individuals, including possibly disgruntled employees. So, use them as a tool to help gather more information about a company, but don't count on them as 100% accurate, because every employee's experience is different.",work more,good
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4531154.htm,Ingénieur logiciel III,7/7/2014,Paris,Ile-de-France,Yes,1,1,1,1,3,1,Staying the Same,No,No Opinion,Grande entreprise avec bons avantages pour les employés directs,Une entreprise acquise qui ne peut pas hériter des bénéfices,Les prestations devraient être égales à tous les employés,Grande entreprise qui n'a rien à dire
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4525966.htm,Client Development Associate,7/5/2014,Chicago,Illinois,Yes,5,5,5,5,5,5,Getting Better,Yes,Disapprove,"The people in the office are excited to come to work. We are having a record year in 2014, and us younger team members feel we have great leaders and mentors.",If you aren't going into the sales path it might be difficult to move up quickly.,Consider increasing compensation for teams that over perform.,New management in Chicago is top notch!
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4513015.htm, ,7/2/2014,New York,New York State,Yes,3,2,3,3,4,3,Staying the Same,No,No Opinion,Culture; good work/life balance; a good place to start.,Lack of advancement opportunity; poor company direction., ,A good start...
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4508369.htm, ,7/2/2014, , ,Yes,3,3,4,3,4,2,Getting Better,No,No Opinion,"Good work life balance, good equipment and software","No sense of team, vague management direction, no training, zero growth",Get a training budget and spend it. Individual training is good.,Good company but nobody is home
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4488668.htm,Research Associate II,6/28/2014,Gurgaon,Haryana,Yes,3,3,4,2,4,3,Getting Better,No,No Opinion,"Work culture, timings, cab Facility",Work becomes tedious and after 6-7 months in the organisation you stop using your brain. After a point its all mechanical work.,Stop expecting your juniors or sub-ordinates to pamper you and do chamchagiri. Give promotion and bonus on the basis of merits.,Research Associate-Grade 2
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4482421.htm,Intern,6/27/2014,Gurgaon,Haryana,No,4,3,4,4,4,5,Getting Better,Yes,No Opinion,Good atmosphere. Flexible timings and helpful mentors,Limited growth opportunity otherwise no cons,Nothing much,Great experience with a good learning curve
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4407655.htm,Current Employee,6/14/2014,Hyderābād,Andhra Pradesh,Yes,4,3,4,3,4,4,Getting Better,Yes,Approve,"Good training, flexible timings, helpful seniors, above average pay",Promotion and promotional hikes are less,Need more people working and less people managing.,Nice place to work for
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4252443.htm,Product Consultant,5/19/2014,London,England,No,2,2,4,2,3,2, , ,No Rating,"Corporate environment
Good colleagues
competitive salary for the job that you actually do","Pigeon Hole job fully orientated in sales
Success very dependent on Manager
HR department could definitely improve","Rotational Grad Scheme
More interaction with Manager
Create clear progression/opportunity chart",Useful training yet very short and not as opportunity orientated as it is made to seem
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4250612.htm,TQA,5/19/2014,Gurgaon,Haryana,Yes,3,3,4,3,3,4,Staying the Same,Yes,Approve,"- Money
- Cabs for shifts
- Relaxed work culture","- No motivation to work hard
- No reward for exceptional work",Nothing,"Good work culture, lack of growth for certain divisions"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4244541.htm,Research Associate,5/18/2014,Gurgaon,Haryana,Yes,2,1,4,2,3,3,Staying the Same,No,No Rating,"Salary is the only motivating factor, other things better not to mention","It take ages to reach to respectable/responsible position, Monotonous work profile.",Please try to incorporate training and other motivational factors,Slow growth
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4243815.htm,Technology Quality Analyst,5/18/2014,Gurgaon,Haryana,Yes,5,4,5,4,4,5,Getting Better,Yes,Approve,"- One of the best salary packages in India for a QA at any level
- If you spend a good 2-3 years, your opinion about things matters and this feels very satisfying
- Managers are very approachable and there is no attitude when it comes to helping the c",#NAME?,"- ""Work from Home"" is very very strict in gurgaon. Its almost not allowed. This should be a bit more flexible

- On-shore visits should be increased for QA and should be uniform accross teams (right now there are very few teams that get this opportuni",Your own performance amd interest matters
