All reviews for SNL Financial as of 2019-12-01 20:10 PST. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: SNL Financial
# Content: Glassdoor Reviews
# All Reviews through 2019-11-30
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8586597.htm, ,2015-11-09, , , ,No, , ,1.0,1.0,2.0,1.0,4.0,1.0,Getting Better,No,Disapprove,Hours are good and that's really it,Global offices are the biggest concern,Slim to none,Only Care About Global Offices, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8359536.htm, ,2015-10-19, , , ,No, ,Intern,4.0,4.0,4.0,3.0,5.0,3.0, , ,Approve,Great entrance to financial world,"Intern program was in its first year, so some minor hiccups occurred.", ,FIG Intern, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8301042.htm, ,2015-10-14, , , ,No, , ,3.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Good work culture with supporting staff,No skillful work. More of data driven, ,Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7980514.htm, ,2015-09-17, , , ,No,More than a year,Full-time,2.0,1.0,1.0,2.0,2.0,2.0,Staying the Same,No,Approve,Working with some good people.,"Feels like Highschool again. If you aren't in the right crowd, your reviews are lower than those in the right crowd, even though you out-perform them.",Treat your employees fairly and reduce the at-risk income piece of your comp plan. Also provide better medical and 401 benefits.,Don't fall for the meritocracy party line, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7915378.htm, ,2015-09-11, , , ,No, ,Full-time,2.0,3.0,3.0,2.0,1.0,2.0,Getting Worse,No,No Rating,"Working with smart people, relaxed dress code.  Not many other options in the area","everyone is out for themselves, you can't trust people.  They will step on you to climb the career ladder.  Reviews are forced into a dispersion.  Too many Directors/Associate Directors.",stop forcing the ratings dispersion.,Sr. Manager, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7816781.htm, ,2015-09-02, , , ,No, ,Intern,5.0,5.0,5.0,4.0,4.0,5.0,Getting Better,Yes,Approve,"Good Company to work, Professional working environment, Helping colleagues, Supportive HRD, Performance oriented bonus","Higher work pressure, Sometimes you may feel mismanagement in internal department but over all good company to start your career.", ,Sr. Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7754128.htm,Senior Manager,2015-08-28, , , ,Yes,More than 8 years,Full-time,4.0,3.0,3.0,4.0,3.0,4.0,Getting Better,Yes,Approve,"Evolving, Expanding lots of learning oppertunities. Exposure to different grographies and cultures  though working with global teams. Employee friendly.",The management style and performance eveluation phylosophy depends hugely from manager to manager. Choose a wise boss., ,A good company to built your career with, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7663905.htm,Senior Analyst,2015-08-20,Charlottesville,Virginia,US,Yes,More than 5 years,Full-time,4.0,3.0,3.0,4.0,4.0,4.0,Getting Better,Yes,Approve,"Casual work environment but don't let it fool you, this place is a true meritocracy. The people at SNL are a truly great group to work with and this is perhaps the best part of the experience.","As a private-equity owned company, SNL can tend to operate on the lean side and so at times employees will have to work with minimal resources at their disposal. Also SNL could do a better job at laying out career paths for employees and investing in employee development.",SNL should focus on laying out clear career paths for its employees and investing the time and resources to invest in employee development.,Analyst at SNL, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7633680.htm,Associate Director,2015-08-18,Charlottesville,Virginia,US,Yes,More than 5 years,Full-time,5.0,5.0,4.0,4.0,3.0,4.0,Staying the Same,Yes,Approve,"Opportunity for travel, work with lots of great people and managers","As with most companies, sometimes feels like they're trying to do more with less",Performance management needs serious overhaul,Great place to work, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7584088.htm, ,2015-08-14, , , ,No, , ,4.0,5.0,4.0,4.0,2.0,5.0,Getting Better,Yes,Approve,"Culture, people, opportunity for advancement","Long hours, limited work life balance", ,Assistant, 
