All reviews for S&P Global Market Intelligence as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global Market Intelligence
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28415473.htm,Content Analyst,2019-08-03,Ahmedabad,Gujarat,India,No,Less than a year,Full-time,5.0,4.0,4.0,4.0,5.0,4.0, ,Yes,Approve,"Flexible Timings, great opportunities, work life balance",No cons while I was working, ,Content Analyst, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28383362.htm,Product Consultant,2019-08-01,New York,New York State,US,No,Less than a year,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,"Relaxed company culture, good benefits",None that I could recall, ,Product Consultant, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28360459.htm,Product Specialist,2019-07-31, , , ,No,More than 3 years,Full-time,3.0,2.0,3.0,3.0,4.0,4.0,Staying the Same,Yes,No Opinion,"- Relaxed atmosphere
- Flexible working hours
- Good benefits
- Lots of standardised processes which makes it well organised","- Limited career growth if you do not want to be a sales director or manager
- A lot of politics going on
- Relatively hierarchical: treatment of junior employees is sometimes poor","Focus more strongly on a career path for those not interested in Sales
Be more accessible to employees
Reward high performers and offer them a career path",Good company - Limited growth if you're not into sales, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28352515.htm, ,2019-07-31, , , ,Yes,More than a year,Full-time,3.0,4.0,4.0,3.0,4.0,3.0, , ,No Rating,Great client exposure and good learning opportunity due to SPGMI's multiple product lines,"the company is becoming more aggressive in recent years which may sometimes harm long term relationships with strategic clients;
politics and bureaucracy", ,RM, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28314021.htm, ,2019-07-29, , , ,Yes, ,Full-time,3.0,2.0,3.0,3.0,3.0,5.0,Getting Better,No,Approve,Detail knowledge of all the business of a particular company,repetitive work no more new things to learn, ,Data Researcher I, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28298341.htm,Data Researcher I,2019-07-28,Ahmedabad,Gujarat,India,No,More than a year,Full-time,1.0,1.0,1.0,1.0,2.0,3.0,Getting Better,No,Approve,HR policies &amp; cultural events happening on the floor,"Too much biasness &amp; favour for selected persons who just know to say yes/no as &amp; when the manager ask them to do so irrespective of its wrong/ unethical, Work culture varies from team to team ( there is only so called good culture announcement) actually your manager continuously hammering your head every week with negative approach for what you are lacking instead of appraising whats going good (it hampers your ultimate productivity)","Train the team leaders &amp; Managers to develop a good culture as they are following dictatorship model to get their work done, nobody can work in such a negative work environment where somebody is always standing at your head. Managers themselves are independent to do whatever they want to do (wrong &amp; unethical practices) &amp; nobody will say anything to them depsite of reporting to upper management, Whole lower &amp; middle level management chain is full of politics. Vast difference between Upper management (perfectly chennalised) &amp; lower/middle level management)",Data Researcher 1, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28277728.htm,Anonymous,2019-07-27,Ahmedabad,Gujarat,India,Yes,More than a year,Full-time,3.0,3.0,3.0,3.0,3.0,3.0, ,No,Approve,Working on challenging projects and giving chances to upgrade the skill set.,One has to be very cautious about the work. Even a slightest of mistake can cause heavy penalty., ,Anonymous, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28258663.htm,Junior Research Analyst,2019-07-26,Hyderabad,Telangana,India,No,More than 3 years,Full-time,4.0,4.0,4.0,4.0,4.0,4.0, ,Yes,Approve,Very good pay and nice to wotk,"No cons ,friendly people . Good to start career", ,Excellent, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28238985.htm, ,2019-07-25, , , ,No, ,Full-time,3.0,3.0,3.0,3.0,3.0,4.0, , ,No Rating,Great Timings and Bus pick n Drop Facility,Work not that interesting for freshers,Better cafeteria,Good, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28204592.htm, ,2019-07-23, , , ,Yes, ,Full-time,2.0,1.0,2.0,1.0,1.0,3.0,Getting Better,No,No Opinion,"Company policies related to Leaves/ Maternity leaves.
Infrastructure.
Comparatively less Micromanagement.
Employee engagement activities.","Do not join this company, it is led by people specifically in Ahmedabad with no skill set and no future vision. No Growth and no appreciation to employees working hard. US management is comparatively better and understanding. Ahmedabad office is full of politics and biasness. They are taking advantage of people due to less opportunities in Ahmd. Its an honey trap.
No Worklife balance, people striving hard to prove their metal but the management is not having required skill set to understand the potentionial and take a stand for their employees.

To conclude: If you dont want to grow its the best company to work with.",Take care of your employees they are asset.,Business Analyst, 
