All reviews for S&P Global as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW27570566.htm, ,2019-06-24, , , ,Yes, ,Full-time,3.0,0.0,0.0,0.0,0.0,0.0, ,Yes,Approve,"good projects on Financial &amp; investment banking
people working in Us projects have better exposure","biased management
growth path is limited", ,business analyst, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW27490336.htm,Associate Director Infra Engineering Services & IT Services,2019-06-19,Gurgaon,Haryana,India,Yes,More than 3 years,Full-time,5.0,4.0,5.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"S&amp;P adopting all new emerging technologies like blue-prism, docker, cloud where each and individual employee getting chance to hands-on on those

Good market vision from higher management, as they taking so many great steps in our product as per market trends and business need, which is a good sign for continuous growth&nbsp;

Great work life balance&nbsp;","No onsite for work :- Working onsite can help bring in a significant change in an individual’s outlook. By working with people from a different country, understanding their work culture and ethics can help you improve your own way of thinking.",open onsite  opportunities,Best place to work, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW27204117.htm,Associate,2019-06-12,Islamabad,Islamabad,Pakistan,Yes,More than a year,Full-time,5.0,4.0,4.0,4.0,5.0,5.0,Getting Better,Yes,Approve,"Supportive culture
Growth
Learning opportunities
Regular check-ins by senior management","Competitive
Sometimes there can be a little bit of office politics leading to some issues
Not every department is as blessed as Client Operations, Commercial and Enterprise", ,Great company to work at, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26539798.htm, ,2019-06-07, , , ,Yes,More than 3 years,Full-time,2.0,2.0,3.0,1.0,2.0,3.0,Staying the Same,No,No Opinion,Unlimited Work from home option.,Lots of politics and no good hikes. For QAs there more weekend validations, ,Organization changes are happening very frequently, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26515099.htm, ,2019-06-06, , , ,No,More than 3 years,Full-time,3.0,4.0,3.0,3.0,2.0,4.0,Getting Better,Yes,Approve,learning and career development is great,the work pressure is insane, ,Great place to learn analytics, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26498479.htm,Senior Relationship Manager,2019-06-05, , , ,Yes,More than 5 years,Full-time,2.0,2.0,3.0,1.0,3.0,1.0,Getting Worse,No,No Rating,"It used to be a great place to work, pre SNL merger",Lack of leadership and poor commercial strategy, ,Completely lacking in direction and leadership since 2017, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26430767.htm, ,2019-06-01,Hyderabad,Telangana,India,No, ,Full-time,3.0,3.0,2.0,5.0,3.0,2.0, , ,No Rating,Top Management is focusing on People First.,no good work at entry level,Middle management need to be aligned with Top Management thought process. Manager should treat the employee as people not as resources. Major mindshift required at mid mgmt level.,Full time employee, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26318246.htm,Associate,2019-05-25, , , ,Yes, ,Full-time,5.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,"Work life balance, working across geographies, meeting incredible people","A bit bureaucratic, might be a bit more technologically flexible",Non,Highly Talented Group of People, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26314179.htm, ,2019-05-25, , , ,Yes, ,Full-time,5.0,4.0,4.0,5.0,4.0,5.0, ,Yes,Approve,"work life balance
good start for fresher",I didn't find any until now., ,best place to work, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26230800.htm,Quality Engineer,2019-05-20,Gurgaon,Haryana,India,No,More than a year,Full-time,5.0,5.0,4.0,3.0,4.0,5.0,Getting Better,Yes,Approve,"1. Open friendly work culture
2. Lot of opportunities to grow internally
3. Competitive salary","No Cons, amazing company with really good opportunities for growth.", ,Amazing Company to work with, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26164213.htm, ,2019-05-15, , , ,Yes,More than a year,Full-time,5.0,4.0,5.0,1.0,5.0,2.0, , ,No Rating,good company to work with,no cons as this is good  company to really have one,Please continue doing what you are doing,SDM, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26141331.htm, ,2019-05-14, , , ,Yes,More than 10 years,Full-time,4.0,4.0,3.0,3.0,3.0,4.0,Getting Better,Yes,Approve,"If you take the initiative you can learn, develop and grow at S&P.  The company is offering free technical training and they allow junior employees access to senior leaders through round tables and town halls. The company is moving in the right direction. Overall benefits are good and 401k is generous.","Speaking from a middle manager’s perspective it is a very challenging environment. The company has made significant improvements but there is still inconsistency across teams with respect to skills, goals and work flexibility. There are still senior managers who do not allow staff to work from home but they work from home often. Middle managers are then left to explain to junior staff why most of the company, industry and their own senior leader are allowed to work from home but they are not. If nothing says not modern to a staff member you want to retain and expect to accommodate different time zones is you need to work every day in the office.",You are making necessary changes but you should expand your survey questions to capture the true sentiment of employees. Pilot 1 day per week at home for everyone. If people abuse it then take it away.,Middle Manager, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26115420.htm, ,2019-05-13, , , ,No, ,Full-time,3.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Helpful colleagues as well as good environment.,still I was not so happy with the career growth aspect.,Please make little bit leadership approach instead of bossy approach.,Good environment, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26080242.htm,Associate Director,2019-05-10,Gurgaon,Haryana,India,Yes, ,Full-time,1.0,1.0,3.0,1.0,3.0,1.0,Getting Worse,No,Disapprove,"Difficult to figure out pros after Lou left and SNL acquired S&P in a reverse merger transaction. Cost is the big play here. A non-technical CTO is running the as Global CTO. If you are in good books for SNL Management, they will fire you at the end.  The Islamabad folks are moving to US. I don’t know if this hints at something bigger.","They only understand cost cutting as firing the people who have been their for sometime. The stock price going up because of the buyback primarily. They do not have have new product planned so sitting on a pile of cash. No learning, you can not even voice your opinion. The Ratings business is run by the HR head (someone needs to tell him employee rating is different from credit ratings. They are moving their operation from Gurgaon and Hyderabad to Gujarat for low cost. Expect a lot of firings by September.  There something wrong with valuation Fed should check the books.","Business is not your cup of tea, you sell the business to someone who can run this, do that. Why are you trying to kill a 125 years old company.","Run, you still may run away before the boat sinks", 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26073806.htm, ,2019-05-10,Gurgaon,Haryana,India,No,Less than a year,Full-time,1.0,1.0,2.0,1.0,2.0,1.0,Getting Worse,No,No Rating,Cab facility is the only pros,"Worst management
Managers believe in micro management
There is alot of Internal politics", ,Worst Company to work with, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26059672.htm,Software Developer,2019-05-09,Hyderabad,Telangana,India,Yes,More than 3 years,Full-time,4.0,4.0,4.0,4.0,4.0,4.0,Getting Better,Yes,Approve,"Great company
Good work-life balance.
Good employee centric polices",Slow / less career growth., ,Software Developer, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW26042731.htm, ,2019-05-08, , , ,No, ,Full-time,3.0,3.0,3.0,4.0,5.0,5.0, , ,No Rating,"Shift timings,
work from home
friendly peers","comparatively less pay
stagnant after couple of years", ,Data Researcher, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW25972327.htm, ,2019-05-03, , , ,Yes,More than 3 years,Full-time,5.0,5.0,5.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"-Mobility
-Benefits
-Access to exciting people
-Career Development",-Large organization that can slow things down, ,Great place to work/benefits, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW25803868.htm,Business Analyst,2019-04-23,Hyderabad,Telangana,India,No,More than a year,Full-time,4.0,4.0,3.0,5.0,5.0,5.0, ,Yes,No Rating,"Good work life balance
Good learning especially different tools","Domain learning is less, its mostly technology",None. Good management,Business Analyst, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW25792692.htm,Credit Analyst,2019-04-22,New York,New York State,US,Yes,More than a year,Full-time,4.0,0.0,0.0,0.0,0.0,0.0,Getting Better,Yes,Approve,Good program to start into out of college,Review process is highly dependent on manger going to bat for you, ,Good learning opportunity, 
