Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12293051.htm,Director,10/13/2016,London,England,UK,Yes,More than 10 years,Full-time,4,3,3,4,4,5,Staying the Same,Yes,No Rating,Very interesting and stimulating job. very nice and smart colleagues,high pressure. lots of changes. quite an administrative burden, ,Director, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12286160.htm,Project Manager,10/12/2016,New York,New York State,US,Yes,More than 5 years,Full-time,3,3,4,1,4,3,Getting Better,No,No Rating,"Benefits are fine, pay is fine, healthcare is fine, some managers are flexible about occasional WFH. Location is very accessible. Steady outlook.","Constantly changing leadership at all levels leads ton inconsistency and chaos. Only some floors are renovated- those that are not are very glum. IT department is demonized and viewed very poorly, which leads to little/no support for training or career advancement and very low morale.",Pick a mission/goal and stick with it. Invest in employee's education and happiness. Mentor new/young employees to help them grow skills.,Boring and chaotic at the same time, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12244870.htm,Quantitative Analyst Intern,10/9/2016, , , ,Yes,Less than a year,Part-time,5,5,5,5,5,4,Staying the Same,Yes,Approve,It is a great place to work.  People are nice.  Not a lot of work.,Do not think about any.  It is just far away from my home., ,Quantitative Analyst, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12183717.htm,Associate,10/4/2016,London,England,UK,Yes,More than a year,Full-time,4,4,4,4,5,4,Getting Better,Yes,No Opinion,"Good work life balance, plenty of opportunities. The job is interesting and challenging. You don't do crazy hours unlike investment banking but the remuneration remains interesting.",The overall package (bonus and base salary) is lower than investment banking. The tasks can become repetitive after a while., ,Good experience, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12048309.htm,Senior Director,9/23/2016,New York,New York State,US,No,More than 8 years, ,2,1,4,1,1,1,Getting Better,No,Disapprove,The company was a great place to work when Terry McGraw was the chairman.  That is how corporate america operates in today' s world.,Management only interested in the bottom line.  They have created a culture of fear and control that has everyone concerned for their jobs as opposed to doing their job.,The strategy for the management team is to to run for short term profit and no concern for the people side of the equation.,Sr Director, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12035925.htm, ,9/22/2016, , , ,Yes, ,Full-time,4,4,4,3,2,4, , ,No Rating,"Flexible, plenty of opportunity provided you are a hard worker",Going thru lot of change; work life balance, ,Good place to work, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11975291.htm, ,9/18/2016, , , ,Yes,More than 5 years,Full-time,2,2,3,2,3,2,Getting Better,No,Approve,"Great Brand
Profitable
smart people, Nice people","Terrible IT system
Upper management out of touch with the business - strategy over execution
a new idea every day
not pursuing innovation in the business model","Manage the day to day, improve It systems, hire from within","Great brand, falling short", 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11968968.htm, ,9/17/2016,Toronto,Ontario,Canada,Yes,More than 5 years,Full-time,1,1,3,1,2,1,Getting Worse,No,No Opinion,"- Good place to get entry-level experience and capital market exposure.
- Work/life balance is good if your department is well-staffed, which is unfortunately no longer the norm. Working remotely seems to be acceptable to most managers.
- Company name","- High turnover at all levels within the past few years, including a disturbing number of sudden executive departures - 3 presidents during the course of my employment.
- Performance reviews are done on a bell curve. Don't expect promotions based off pe","Invest in developing and retaining talent, with the intent of improving product quality - focus has been on ""low-hanging fruit"" and ""quick wins"" for way too long.","Get in, then get out...", 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11899681.htm,Financial Editor and Translator,9/12/2016,Buenos Aires,Federal Capital,Argentina,Yes,More than a year,Full-time,5,3,2,3,3,5,Staying the Same,Yes,No Rating,"The experience I acquire each day is one of the most important advantage about this job. Also, the cultural diversity and the values of it are important to me.",I think remuneration is not enough due to the inflation Argentina is facing nowadays., ,Financial Editor, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11794120.htm,Intern,9/4/2016,London,England,UK,No, , ,5,4,4,5,5,5,Getting Better,Yes,Approve,"Freundliches Arbeitsklima, kollegialer Zusammenhalt, Förderung und gute work-life balance",Viele Umstellungen im Unternehmen während ich dort war. Abteilungen geändert bzw. zusammengelegt., ,Sehr guter Arbeitgeber, 
